"Año";"Periodo";"Agua embalsada";"Capacidad de los embalses"
"1988";"Semana 20";"29.930";"42.788"
"1989";"Semana 20";"23.126";"42.794"
"1990";"Semana 20";"29.541";"48.678"
"1991";"Semana 20";"29.892";"48.678"
"1992";"Semana 20";"22.504";"48.806"
"1993";"Semana 20";"22.231";"48.951"
"1994";"Semana 20";"24.755";"51.114"
"1995";"Semana 20";"20.467";"51.095"
"1996";"Semana 20";"36.644";"51.441"
"1997";"Semana 20";"36.987";"51.559"
"1998";"Semana 20";"41.787";"51.564"
"1999";"Semana 20";"33.239";"53.069"
"2000";"Semana 20";"34.105";"53.069"
"2001";"Semana 20";"41.122";"53.191"
"2002";"Semana 20";"33.199";"53.224"
"2003";"Semana 20";"41.859";"53.349"
"2004";"Semana 20";"40.889";"53.198"
"2005";"Semana 20";"31.753";"53.198"
"2006";"Semana 20";"31.352";"53.252"
"2007";"Semana 20";"35.076";"54.148"
"2008";"Semana 20";"30.519";"54.308"
"2009";"Semana 20";"33.362";"54.364"
"2010";"Semana 20";"46.684";"55.561"
"2011";"Semana 20";"45.914";"55.590"
"2012";"Semana 20";"37.131";"55.590"
"2013";"Semana 20";"47.392";"55.326"
"2014";"Semana 20";"45.748";"55.343"
"2015";"Semana 20";"43.687";"55.977"
"2016";"Semana 20";"42.188";"55.977"
"2017";"Semana 20";"32.422";"55.973"
"2018";"Semana 20";"40.221";"56.074"
"2019";"Semana 20";"34.043";"56.118"
"2020";"Semana 20";"37.280";"55.622"
"2021";"Semana 20";"34.075";"55.899"
"2022";"Semana 20";"28.301";"56.136"
"2023";"Semana 20";"27.033";"56.069"

